,Title,Year,Duration,MPA,Rating,Votes,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
82,83. Shortcut,2020,1h 20m,R,4.1,1900.0,600734.0,588869.0,243508.0,['Alessio Liguori'],['Daniele Cosci'],"['Jack Kane', 'Zanda Emlano', 'Zak Sutcliffe']","['Adventure', 'Fantasy', 'Horror']","['Italy', 'Germany']",[Global],"['Play Entertainment', 'Camaleo', 'Star Mountain Pictures']",['English'],0,0,0,2020
83,84. Panga,2020,2h 11m,Unrated,6.8,8000.0,4886124.0,582720.0,285689.0,['Ashwiny Iyer Tiwari'],"['Nikhil Mehrotra', 'Ashwiny Iyer Tiwari', 'Nitesh Tiwari']","['Kangana Ranaut', 'Jassie Gill', 'Richa Chadha']","['Drama', 'Sport']",['India'],[Global],"['Fox STAR Studios', 'FoxStarHindi', 'Zeal Z Entertainment services']",['Hindi'],0,14,0,2020
84,85. Alone,2020,1h 38m,R,6.2,32000.0,642502.0,537589.0,182473.0,['John Hyams'],['Mattias Olsson'],"['Jules Willcox', 'Marc Menchaca', 'Anthony Heald']","['Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Thriller']","['United States', 'Canada']","['Portland, Oregon, USA']","['Paperclip Limited', 'Mill House Motion Pictures', 'XYZfilms']",['English'],0,2,0,2020
85,86. Kajillionaire,2020,1h 44m,R,6.4,23000.0,1285775.0,531430.0,215675.0,['Miranda July'],['Miranda July'],"['Richard Jenkins', 'Debra Winger', 'Evan Rachel Wood']","['Comedy', 'Crime', 'Drama']",['United States'],"['2529 East 55th Street, Huntington Park, California, USA']","['Annapurna Pictures', 'Plan B Entertainment']",['English'],0,9,0,2020
86,87. The Truffle Hunters,2020,1h 24m,PG-13,7.3,4000.0,1515528.0,521202.0,2185475.1598360655,"['Michael Dweck', 'Gregory Kershaw']","['Michael Dweck', 'Gregory Kershaw']","['Piero Botto', 'Sergio Cauda', 'Maria Cicciù']",['Documentary'],"['Italy', 'Greece', 'United States']","['Piedmont, Italy']","['Bow and Arrow Entertainment', 'Park Pictures', 'Beautiful Stories']",['Italian'],0,22,0,2020
87,88. The Call,2020,1h 37m,Unrated,4.2,5300.0,1591194.0,516521.0,138237.0,['Timothy Woodward Jr.'],['Patrick Stibbs'],"['Lin Shaye', 'Tobin Bell', 'Chester Rushing']","['Horror', 'Mystery', 'Thriller']","['United States', 'Canada']",[Global],"['Single Malt Productions', 'Appreciated Films', 'BondIt Media Capital']","['English', 'Spanish']",0,0,0,2020
88,89. The Big Ugly,2020,1h 46m,R,5.1,7000.0,515399.0,514107.0,152598.0,['Scott Wiper'],"['Scott Wiper', 'Paul Tarantino']","['Vinnie Jones', 'Malcolm McDowell', 'Ron Perlman']","['Crime', 'Drama', 'Thriller']",['United States'],[Global],['4G Vision'],['English'],0,13,0,2020
89,90. The Forgotten Carols,2020,2h 10m,Unrated,8.4,84000.0,502252.0,502252.0,104798.0,['Christy Summerhays'],"['Michael McLean', 'Scott McLean']","['Roger Dunbar', 'Gili Getz', 'Dave Martin']",['Musical'],['United States'],"['Heritage Center Theater, Cedar City, Utah, USA']",['Shining Star Entertainment'],['English'],0,0,0,2020
90,91. Spell,2020,1h 31m,R,5.5,10000.0,500104.0,500104.0,206591.0,['Mark Tonderai'],['Kurt Wimmer'],"['Omari Hardwick', 'Loretta Devine', 'Lorraine Burroughs']","['Supernatural Horror', 'Horror', 'Thriller']","['United States', 'South Africa']","['Cape Town, South Africa']","['LINK Entertainment', 'MC8 Entertainment', 'Mayhem Pictures']",['English'],0,0,0,2020
91,92. Ava,2020,1h 36m,R,5.5,65000.0,3293783.0,497747.0,170349.0,['Tate Taylor'],['Matthew Newton'],"['Jessica Chastain', 'John Malkovich', 'Common']","['One-Person Army Action', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Gloucester, Massachusetts, USA']","['Freckle Films', 'Leeding Media', 'Voltage Pictures']","['English', 'German', 'French', 'Chinese']",0,0,0,2020
92,93. Trolls World Tour,2020,1h 31m,PG,6.1,30000.0,49276818.0,450000.0,2185475.1598360655,"['Walt Dohrn', 'David P. Smith']","['Jonathan Aibel', 'Glenn Berger', 'Maya Forbes']","['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom']","['Computer Animation', 'Jukebox Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","['United States', 'Japan']","['Glendale, California, USA']","['DreamWorks Animation', 'Dentsu']",['English'],0,22,0,2020
93,94. Chal Mera Putt 2,2020,2h 4m,Unrated,8.8,3500.0,4095000.0,445000.0,2185475.1598360655,['Janjot Singh'],"['Rakesh Dhawan', 'Sunil Dhawan', 'Harwinder Singh Manyani']","['Amrinder Gill', 'Simi Chahal', 'Nasir Chinyoti']",['Drama'],['India'],['Canada'],"['Gillz Network', 'Omjee Star Studios', 'Phantasy Films']",['Punjabi'],0,0,0,2020
94,95. CatVideoFest 2020,2020,1h 15m,Unrated,6.8,21000.0,437625.0,437625.0,217927.0,"['Will Braden', 'Alex P. Kitten']",[],[],['Documentary'],[],[Global],[],[],0,0,0,2020
95,96. Infamous,2020,1h 40m,Unrated,4.3,3600.0,429148.0,429148.0,160371.0,['Joshua Caldwell'],['Joshua Caldwell'],"['Bella Thorne', 'Jake Manley', 'Amber Riley']","['Crime', 'Drama', 'Romance', 'Thriller']",['United States'],"['Key Largo, Florida, USA']","['SSS Entertainment', 'El Ride Productions', 'Lucidity Entertainment']",['English'],0,0,0,2020
96,97. Tulsa,2020,2h,PG-13,6.3,1200.0,413378.0,413378.0,78393.0,"['Scott Pryor', 'Gloria Stella']","['Scott Pryor', 'Ty DeMartino']","['Scott Pryor', 'Livi Birch', 'John Schneider']","['Comedy', 'Drama']",['United States'],[Global],"['Pryor Entertainment', ""En'val Entertainment"", 'Autumn Bailey Entertainment']",['English'],0,2,0,2020
97,98. Stevie Nicks 24 Karat Gold the Concert,2020,2h 15m,Unrated,8.1,119000.0,613612.0,410265.0,243509.0,['Joe Thomas'],[],"['Stevie Nicks', 'Sharon Celani', 'Drew Hester']",['Music'],['United States'],[Global],"['BMG', 'Comfortzone Audio']",['English'],0,0,0,2020
98,99. She Dies Tomorrow,2020,1h 26m,R,5.0,7500.0,398663.0,398663.0,84659.0,['Amy Seimetz'],['Amy Seimetz'],"['Kate Lyn Sheil', 'Jane Adams', 'Kentucker Audley']","['Psychological Horror', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",['United States'],[Global],['Rustic Films'],['English'],0,0,0,2020
99,100. The Water Man,2020,1h 31m,PG,5.6,4700.0,383234.0,383234.0,181046.0,['David Oyelowo'],['Emma Needell'],"['David Oyelowo', 'Amiah Miller', 'Lonnie Chavis']","['Adventure', 'Drama', 'Family', 'Fantasy']",['United States'],"['Oregon, USA']","['Harpo Films', 'ShivHans Pictures', 'Yoruba Saxon Productions']",['English'],0,2,0,2020
100,101. The Eight Hundred,2020,2h 29m,Unrated,6.7,7700.0,461421559.0,372755.0,118161.0,['Guan Hu'],"['Guan Hu', 'Rui Ge', 'Kun Hu']","['Zhizhong Huang', 'Junyi Zhang', 'Hao Ou']","['War Epic', 'History', 'War']",['China'],"['Shanghai, China']","['Huayi Brothers Media', 'The Seventh Art Pictures', 'Tencent Pictures']","['Chinese', 'Japanese', 'English']",0,40,0,2020
101,102. The Dry,2020,1h 57m,R,6.8,36000.0,15576286.0,364237.0,119364.0,['Robert Connolly'],"['Harry Cripps', 'Robert Connolly', 'Jane Harper']","['Eric Bana', ""Genevieve O'Reilly"", ""Keir O'Donnell""]","['Cop Drama', 'Police Procedural', 'Tragedy', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']","['Australia', 'United States', 'United Kingdom']","['Melbourne, Victoria, Australia']","['Made Up Stories', 'Arenamedia', 'Cornerstone Films']",['English'],0,22,0,2020
102,103. The Kid Detective,2020,1h 40m,R,7.0,24000.0,367890.0,364138.0,140218.0,['Evan Morgan'],['Evan Morgan'],"['Kaitlyn Chalmers-Rizzato', 'Adam Brody', 'Kaleb Horn']","['Bumbling Detective', 'Coming-of-Age', 'Dark Comedy', 'Quirky Comedy', 'Suspense Mystery', 'Comedy', 'Drama', 'Mystery']",['Canada'],"['North Bay, Ontario, Canada']","['Woods Entertainment', 'JoBro Productions & Film Finance']",['English'],0,0,0,2020
103,104. Children of the Corn,2020,1h 33m,R,3.7,4800.0,575179.0,325583.0,263128.0,['Kurt Wimmer'],"['Kurt Wimmer', 'Stephen King']","['Elena Kampouris', 'Kate Moyer', 'Callan Mulvey']","['Slasher Horror', 'Supernatural Horror', 'Horror']",['United States'],"['Rylstone, New South Wales, Australia']","['ANVL Entertainment', 'Angel Oak Films', 'Cinemation Studios']",['English'],0,0,0,2020
104,105. Final Account,2020,1h 34m,PG-13,7.3,1800.0,353077.0,308976.0,139985.0,['Luke Holland'],[],[],['Documentary'],"['United Kingdom', 'United States']",[Global],"['Participant', 'Passion Pictures', 'Ventureland']",['German'],0,0,0,2020
105,106. New Order,2020,1h 26m,R,6.5,10000.0,1825491.0,303556.0,144533.0,['Michel Franco'],['Michel Franco'],"['Naian González Norvind', 'Eligio Meléndez', 'Mónica Del Carmen']","['Crime', 'Drama', 'Sci-Fi', 'Thriller']","['Mexico', 'France']","['Ángel de la Independencia, Av. Paseo de la Reforma 465, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico']","[""Les Films d'Ici"", 'Teorema Films']","['Spanish', 'English']",0,19,0,2020
106,107. Save Yourselves!,2020,1h 33m,R,5.8,8800.0,301162.0,301162.0,142694.0,"['Alex Huston Fischer', 'Eleanor Wilson']","['Alex Huston Fischer', 'Eleanor Wilson']","['Sunita Mani', 'John Reynolds', 'Ben Sinclair']","['Adventure', 'Comedy', 'Sci-Fi']",['United States'],"['Ulster County, New York, USA']","['Keshet Studios', 'Last Rodeo Studios', 'Washington Square Films']",['English'],0,0,0,2020
107,108. Blithe Spirit,2020,1h 39m,PG-13,5.4,8900.0,964832.0,282500.0,88559.0,['Edward Hall'],"['Nick Moorcroft', 'Meg Leonard', 'Piers Ashworth']","['Dan Stevens', 'Isla Fisher', 'Aimee-Ffion Edwards']","['Dark Comedy', 'Farce', 'Period Drama', 'Screwball Comedy', 'Slapstick', 'Supernatural Fantasy', 'Tragic Romance', 'Comedy', 'Fantasy', 'Romance']","['United Kingdom', 'United States', 'Australia']","['Joldwynds, Holmbury St Mary, Dorking, Surrey, England, UK']","['Fred Films', 'Powderkeg Pictures', 'Align']",['English'],0,0,0,2020
108,109. Created Equal: Clarence Thomas in His Own Words,2020,1h 56m,PG-13,7.9,1200.0,282149.0,282149.0,74577.0,['Michael Pack'],['Michael Pack'],"['Clarence Thomas', 'Joe Biden', 'Anita Hill']","['Biography', 'Documentary']",['United States'],[Global],['Manifold Productions Inc.'],['English'],0,0,0,2020
109,110. Fatman,2020,1h 40m,R,5.9,32000.0,1651413.0,278378.0,108305.0,"['Eshom Nelms', 'Ian Nelms']","['Ian Nelms', 'Eshom Nelms']","['Mel Gibson', 'Walton Goggins', 'Marianne Jean-Baptiste']","['Dark Comedy', 'Holiday Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Holiday', 'Horror', 'Sci-Fi', 'Thriller']","['United Kingdom', 'Canada', 'United States']","['Ottawa, Ontario, Canada']","['Panasper Films', 'Fortitude International', 'Saban Films']","['English', 'Italian']",0,2,0,2020
110,111. Heaven,2020,1h 40m,PG-13,5.9,126000.0,259323.0,259323.0,49130.0,['Angus Benfield'],"['Angus Benfield', 'Alan Duprey']","['Eric Roberts', 'Angus Benfield', 'Aaron Groben']",['Drama'],['United States'],"['Los Angeles, California, USA']","['Bridge and Acorn Entertainment', 'Media 14:36']",['English'],0,24,0,2020
111,112. Blind Eyes Opened,2020,1h 55m,Unrated,7.0,45000.0,234505.0,234505.0,2185475.1598360655,['Geoffrey Rogers'],"['Cherie Hollis', 'Natalie Kehn', 'Sarah Manson']",['Brook Susan Parker'],['Documentary'],['United States'],[Global],"['Ships of Tarshish', 'KnockTV', 'Polyphonic Image']",[],0,0,0,2020
112,113. Supernova,2020,1h 35m,R,6.9,15000.0,3415787.0,234220.0,90096.0,['Harry Macqueen'],['Harry Macqueen'],"['Colin Firth', 'Stanley Tucci', 'Pippa Haywood']","['Feel-Good Romance', 'Road Trip', 'Drama', 'Romance']",['United Kingdom'],"['Lake District, Cumbria, England, UK']","['BBC Film', 'British Film Institute (BFI)', 'Quiddity Films']",['English'],0,10,0,2020
113,114. Limbo,2020,1h 44m,R,7.2,5500.0,921894.0,224405.0,84710.0,['Ben Sharrock'],['Ben Sharrock'],"['Sidse Babett Knudsen', 'Kenneth Collard', 'Amir El-Masry']","['Comedy', 'Drama']",['United Kingdom'],"['North Uist, Western Isles, Scotland, UK']","['Caravan Cinema', 'British Film Institute (BFI)', 'Creative Scotland']","['English', 'Arabic']",0,20,2,2020
114,115. Jiang Ziya,2020,1h 50m,TV-PG,6.5,2300.0,240646355.0,214670.0,2185475.1598360655,"['Teng Cheng', 'Li Wei']","['Qianying Xie', 'Zhonglin Xu']","['Guanlin Ji', 'Guangtao Jiang', 'Lu Li']","['Action', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",['China'],[Global],"['Beijing Enlight Pictures', 'Original Force']","['Mandarin', 'English', 'Chinese']",0,7,0,2020
115,116. Wild Mountain Thyme,2020,1h 42m,PG-13,5.7,13000.0,1517267.0,213440.0,95360.0,['John Patrick Shanley'],['John Patrick Shanley'],"['Emily Blunt', 'Jamie Dornan', 'Jon Hamm']","['Slapstick', 'Comedy', 'Drama', 'Romance']","['United States', 'Ireland', 'United Kingdom']","['Crossmolina, Mayo, Ireland']","['Amasia Entertainment', 'Aperture Media Partners', 'Likely Story']",['English'],0,0,0,2020
116,117. The Secrets We Keep,2020,1h 37m,R,5.9,7700.0,615233.0,207928.0,88306.0,['Yuval Adler'],"['Ryan Covington', 'Yuval Adler']","['Noomi Rapace', 'Joel Kinnaman', 'Chris Messina']","['Drama', 'Thriller']",['United States'],"['New Orleans, Louisiana, USA']","['AGC Studios', 'Di Bonaventura Pictures', 'Echo Lake Entertainment']",['English'],0,0,0,2020
117,118. Shiva Baby,2020,1h 17m,Unrated,7.1,36000.0,359247.0,204435.0,7160.0,['Emma Seligman'],['Emma Seligman'],"['Rachel Sennott', 'Danny Deferrari', 'Fred Melamed']","['Dark Comedy', 'Psychological Drama', 'Raunchy Comedy', 'Comedy', 'Drama']",['United States'],"['Flatbush, Brooklyn, New York City, New York, USA']","['Bad Mensch Productions', 'Dimbo Pictures', 'Irving Harvey']",['English'],0,43,0,2020
118,119. The Witches,2020,1h 46m,PG,5.4,48000.0,29303571.0,203571.0,2185475.1598360655,['Robert Zemeckis'],"['Robert Zemeckis', 'Kenya Barris', 'Guillermo del Toro']","['Anne Hathaway', 'Octavia Spencer', 'Stanley Tucci']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']","['United States', 'Mexico', 'Canada']","['Surrey, England, UK']","['Warner Bros.', 'ImageMovers', 'Canadian Film or Video Production Tax Credit (CPTC)']",['English'],0,0,0,2020
119,120. Fate/stay night [Heaven's Feel] III. spring song,2020,2h,TV-MA,7.9,2900.0,19252497.0,200000.0,200000.0,['Tomonori Sudô'],"['Kinoko Nasu', 'Akira Hiyama']","['Yu Asakawa', 'Michael Donovan', 'Melissa Fahn']","['Adult Animation', 'Anime', 'Adventure', 'Animation', 'Drama', 'Fantasy', 'Romance']",['Japan'],[Global],"['Aniplex', 'Kadokawa', 'Type-Moon']",[],0,0,0,2020
120,121. Always and Forever,2020,1h 38m,PG-13,4.2,665000.0,302335.0,197464.0,12361.0,['Chris Stokes'],"['Marques Houston', 'Chris Stokes']","['Cynthia Addai-Robinson', 'Robbie Jones', 'Aundrea Smith']",['Thriller'],['United States'],[Global],"['Footage Films', 'Novus Content']",['English'],0,0,0,2020
121,122. The Wolf of Snow Hollow,2020,1h 25m,R,6.2,26000.0,266963.0,185026.0,91943.0,['Jim Cummings'],['Jim Cummings'],"['Jim Cummings', 'Riki Lindhome', 'Robert Forster']","['Dark Comedy', 'Satire', 'Werewolf Horror', 'Whodunnit', 'Comedy', 'Horror', 'Mystery', 'Thriller']",['United States'],"['Utah, USA']","['Orion Classics', 'New Form', 'Vanishing Angle']",['English'],0,0,0,2020
122,123. Come Away,2020,1h 34m,PG,5.7,6000.0,1692494.0,184477.0,106084.0,['Brenda Chapman'],['Marissa Kate Goodhill'],"['Gugu Mbatha-Raw', 'Carter Thomas', 'Ava Fillery']","['Adventure', 'Drama', 'Fantasy']",['United Kingdom'],"['Pinewood Studios, Pinewood Road, Iver Heath, Iver, Buckinghamshire, England, UK']","['Endurance Media', 'Hammerstone Studios', 'Lakeview Entertainment (II)']",['English'],0,2,0,2020
123,124. Follow Me,2020,1h 31m,R,5.4,14000.0,4377394.0,167962.0,79182.0,['Will Wernick'],['Will Wernick'],"['Keegan Allen', 'Holland Roden', 'Denzel Whitaker']","['Adventure', 'Horror', 'Mystery', 'Thriller']",['United States'],"['Moscow, Russia']",['Escape Productions'],"['English', 'Russian']",0,0,0,2020
124,125. I Carry You with Me,2020,1h 51m,R,6.7,1900.0,193860.0,166403.0,17127.0,['Heidi Ewing'],"['Heidi Ewing', 'Alan Page']","['Armando Espitia', 'Yael Tadeo', 'Raúl Briones']",['Drama'],"['United States', 'Mexico']","['New York City, New York, USA']","['The Population', 'Loki Films', 'Zafiro Cinema']","['Spanish', 'English']",0,25,0,2020
125,126. Palm Springs,2020,1h 30m,R,7.4,194000.0,1512871.0,164000.0,164000.0,['Max Barbakow'],"['Andy Siara', 'Max Barbakow']","['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons']","['Feel-Good Romance', 'High-Concept Comedy', 'Romantic Comedy', 'Supernatural Fantasy', 'Comedy', 'Fantasy', 'Mystery', 'Romance']","['United States', 'Hong Kong']","['Palmdale, California, USA']","['Limelight', 'Sun Entertainment Culture', 'The Lonely Island']",['English'],0,46,0,2020
126,127. Ammonite,2020,1h 57m,R,6.5,25000.0,1109287.0,160930.0,87552.0,['Francis Lee'],['Francis Lee'],"['Kate Winslet', 'Saoirse Ronan', 'Gemma Jones']","['Period Drama', 'Steamy Romance', 'Drama', 'History', 'Romance']","['United Kingdom', 'Australia', 'United States']","['Lyme Regis, Dorset, England, UK']","['BBC Film', 'British Film Institute (BFI)', 'Cross City Films']","['English', 'French']",0,33,1,2020
127,128. The Dark and the Wicked,2020,1h 35m,Unrated,6.1,25000.0,736153.0,157252.0,60379.0,['Bryan Bertino'],['Bryan Bertino'],"['Marin Ireland', 'Michael Abbott Jr.', 'Julie Oliver-Touchstone']","['Tragedy', 'Horror']",['United States'],"['Granbury, Texas, USA']","['Traveling Picture Show Company', 'Unbroken Pictures', 'Shotgun Shack Pictures']",['English'],0,13,0,2020
128,129. Shadow in the Cloud,2020,1h 23m,R,5.0,32000.0,1054290.0,156932.0,39117.0,['Roseanne Liang'],"['Max Landis', 'Roseanne Liang']","['Chloë Grace Moretz', 'Nick Robinson', 'Beulah Koale']","['Monster Horror', 'Action', 'Horror', 'War']","['New Zealand', 'United States']","['Tamaki Makaurau, Auckland, New Zealand']","['Fifth Season', 'Rhea Films (II)', 'Hercules Film Fund']",['English'],0,0,0,2020
129,"130. My Donkey, My Lover & I",2020,1h 36m,Unrated,6.5,4100.0,7974769.0,152184.0,37188.0,['Caroline Vignal'],"['Caroline Vignal', 'Robert Louis Stevenson']","['Laure Calamy', 'Benjamin Lavernhe', 'Olivia Côte']","['Romantic Comedy', 'Screwball Comedy', 'Adventure', 'Comedy', 'Romance']","['France', 'Belgium']","['Cévennes, France']","['Chapka Films', 'La Filmerie', 'France 3 Cinéma']",['French'],0,11,0,2020
130,131. The Reckoning,2020,1h 50m,Unrated,4.8,4000.0,596806.0,143532.0,64911.0,['Neil Marshall'],"['Neil Marshall', 'Charlotte Kirk', 'Edward Evers-Swindell']","['Charlotte Kirk', 'Sean Pertwee', 'Steven Waddington']","['Adventure', 'Drama', 'Horror']",['United Kingdom'],['Hungary'],"['Fourth Culture Films', 'BondIt Media Capital', 'Moviebar Productions']",['English'],0,15,0,2020
131,132. Wendy,2020,1h 51m,PG-13,5.7,3800.0,235016.0,143518.0,26214.0,['Benh Zeitlin'],"['Benh Zeitlin', 'Eliza Zeitlin']","['Devin France', 'Yashua Mack', 'Gage Naquin']","['Drama', 'Fantasy', 'Thriller']",['United States'],"['Louisiana, USA']","['Searchlight Pictures', 'TSG Entertainment', 'Department of Motion Pictures']",['English'],0,0,0,2020
132,133. Held,2020,1h 34m,Unrated,5.3,3100.0,150913.0,142817.0,46277.0,"['Travis Cluff', 'Chris Lofing']",['Jill Awbrey'],"['Jill Awbrey', 'Bart Johnson', 'Travis Cluff']","['Horror', 'Mystery', 'Thriller']",['United States'],"['Fresno, California, USA']",['Tremendum Pictures'],['English'],0,0,0,2020
133,134. Archive,2020,1h 49m,TV-MA,6.4,27000.0,243279.0,139593.0,52642.0,['Gavin Rothery'],['Gavin Rothery'],"['Theo James', 'Stacy Martin', 'Rhona Mitra']","['Artificial Intelligence', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['United Kingdom', 'Hungary', 'United States']","['Budapest, Hungary']","['Independent Entertainment', 'Hero Squared', 'Head Gear Films']","['English', 'Japanese', 'French']",0,0,0,2020
134,135. No Man's Land,2020,1h 54m,PG-13,5.4,1400.0,183882.0,139221.0,58969.0,['Conor Allyn'],"['Jake Allyn', 'David Barraza']","['Jake Allyn', 'Frank Grillo', 'Jorge A. Jimenez']","['Action', 'Adventure', 'Thriller', 'Western']",['Mexico'],[Global],['Margate House Films'],"['English', 'Spanish']",0,0,0,2020
135,136. Most Wanted,2020,2h 5m,R,6.2,5800.0,153983.0,138000.0,2185475.1598360655,['Daniel Roby'],['Daniel Roby'],"['Antoine Olivier Pilon', 'Josh Hartnett', 'Stephen McHattie']","['Crime', 'Drama', 'History', 'Mystery', 'Thriller']",['Canada'],"['Vancouver, British Columbia, Canada']","['Caramel Films', 'Goldrush Entertainment']","['English', 'French', 'Thai', 'Spanish']",0,0,0,2020
136,137. The Nest,2020,1h 47m,R,6.3,20000.0,2122682.0,137886.0,65540.0,['Sean Durkin'],['Sean Durkin'],"['Jude Law', 'Carrie Coon', 'Oona Roche']","['Period Drama', 'Psychological Drama', 'Drama', 'Romance', 'Thriller']","['United Kingdom', 'Canada', 'United States']",['Canada'],"['Element Pictures', 'BBC Film', 'Elevation Pictures']",['English'],0,29,0,2020
137,138. Six Minutes to Midnight,2020,1h 39m,PG-13,5.9,6300.0,2920431.0,132500.0,51315.0,['Andy Goddard'],"['Eddie Izzard', 'Celyn Jones', 'Andy Goddard']","['Nigel Lindsay', 'Judi Dench', 'Eddie Izzard']","['Drama', 'Thriller', 'War']",['United Kingdom'],"['Llandudno, Conwy, Wales, UK']","['Ffilm Cymru Wales', 'Mad As Birds', 'Reliance Entertainment Productions 6']","['German', 'English']",0,2,0,2020
138,139. Archenemy,2020,1h 30m,Unrated,5.0,3700.0,147757.0,121642.0,53678.0,['Adam Egypt Mortimer'],"['Adam Egypt Mortimer', 'Luke Passmore']","['Jessica Allain', 'Mac Brandt', 'Skylan Brooks']","['Dark Comedy', 'Superhero', 'Action', 'Adventure', 'Animation', 'Crime', 'Fantasy', 'Thriller']","['United States', 'United Kingdom']","['Los Angeles, California, USA']","['SpectreVision', 'Head Gear Films', 'Legion M']",['English'],0,0,0,2020
139,140. The Rose Maker,2020,1h 35m,Unrated,6.4,1300.0,2876321.0,119160.0,8409.0,['Pierre Pinaud'],"['Fadette Drouard', 'Blandine Jet', 'Philippe Le Guay']","['Catherine Frot', 'Melan Omerta', 'Fatsah Bouyahmed']","['Quirky Comedy', 'Workplace Drama', 'Comedy', 'Drama']",['France'],[Global],"['Estrella Productions', 'France 3 Cinéma', 'Auvergne Rhône-Alpes Cinéma']",['French'],0,0,0,2020
140,141. The World to Come,2020,1h 45m,R,6.4,12000.0,205878.0,116143.0,51245.0,['Mona Fastvold'],"['Ron Hansen', 'Jim Shepard']","['Katherine Waterston', 'Vanessa Kirby', 'Casey Affleck']","['Period Drama', 'Drama', 'History', 'Western']",['United States'],['Romania'],"['Arsia Production', 'Charades', 'Hype Film']",['English'],0,8,0,2020
141,142. Gunda,2020,1h 33m,G,7.1,3000.0,383128.0,115691.0,5023.0,['Victor Kossakovsky'],"['Victor Kossakovsky', 'Ainara Vera']",['Gunda'],['Documentary'],"['Norway', 'United States', 'United Kingdom']","['Grøstad farm, Undrumsdal in Tønsberg municipality, Norway']","['Artemis Rising Foundation', 'Empathy Arts', 'Fritt Ord Foundation']",['None'],0,32,0,2020
142,143. The Man Standing Next,2020,1h 54m,Unrated,7.0,4500.0,34664900.0,113527.0,16514.0,['Min-ho Woo'],"['Lee Ji-min', 'Min-ho Woo']","['Lee Byung-hun', 'Lee Sung-min', 'Kwak Do-won']",['Thriller'],['South Korea'],"['Place Vendome, Paris, France']","['Gemstone Pictures', 'Hive Media']","['Korean', 'English', 'French', 'Japanese']",0,35,0,2020
143,144. The Paper Tigers,2020,1h 48m,PG-13,6.3,5500.0,118351.0,112691.0,46615.0,['Quoc Bao Tran'],['Quoc Bao Tran'],"['Yuji Okumoto', 'Jae Suh Park', 'Ron Yuan']","['Action', 'Comedy']",['United States'],"['Canton Alley S, Seattle, Washington, USA']","['Beimo Films', 'Persistence of Vision Films (I)']",['English'],0,3,0,2020
144,145. Made in Italy,2020,1h 34m,R,6.0,12000.0,2915266.0,101339.0,33998.0,"[""James D'Arcy""]","[""James D'Arcy""]","['Yolanda Kettle', 'Micheál Neeson', 'Souad Faress']","['Comedy', 'Drama', 'Romance']","['United Kingdom', 'Italy']","['Villa Fontanelle, Montalcino, Argiano, Siena, Tuscany, Italy']","['CrossDay Productions Ltd.', 'Indiana Production', 'Ingenious Media']","['English', 'Italian']",0,0,0,2020
145,146. The Silencing,2020,1h 33m,R,6.3,36000.0,170653.0,100746.0,53205.0,['Robin Pront'],['Micah Ranum'],"['Nikolaj Coster-Waldau', 'Caleb Ellsworth-Clark', 'Josh Cruddas']","['Action', 'Crime', 'Mystery', 'Thriller']","['Canada', 'United States']","['Sudbury, Ontario, Canada']","['Anova Pictures', 'Madrona Drive', 'Silencing Canada Productions']",['English'],0,0,0,2020
146,147. Psycho Goreman,2020,1h 35m,Unrated,6.3,16000.0,95384.0,95182.0,40366.0,['Steven Kostanski'],['Steven Kostanski'],"['Nita-Josée Hanna', 'Owen Myre', 'Matthew Ninaber']","['Dark Comedy', 'Splatter Horror', 'Supernatural Horror', 'Comedy', 'Horror', 'Sci-Fi']",['Canada'],"['St. Catharines, Ontario, Canada']","['Dystopia Films', 'Raven Banner Entertainment']",['English'],0,4,0,2020
147,148. First Lady,2020,1h 41m,PG,3.9,328000.0,93298.0,93298.0,56747.0,['Nina May'],['Nina May'],"['Nancy Stafford', 'Corbin Bernsen', 'Stacey Dash']","['Comedy', 'Romance']",['United States'],"['Virginia, USA']",['Renaissance Women Productions'],['English'],0,0,0,2020
148,149. Tesla,2020,1h 42m,PG-13,5.1,11000.0,459051.0,93147.0,42165.0,['Michael Almereyda'],['Michael Almereyda'],"['Ethan Hawke', 'Eve Hewson', 'Eli A. Smith']","['Biography', 'Drama']",['United States'],[Global],"['Millennium Media', 'Millennium Media', 'Passage Pictures (II)']","['English', 'French']",0,0,0,2020
